video_name,fps
1-30-1280x720.mp4,30.0
10-60-1280x720.mp4,30.0
100-29-1080x1920.mp4,30.0
101-30-1080x1920.mp4,30.0
102-30-640x360.mp4,30.0
102.avi,25.0
103-30-384x480.mp4,30.0
103.avi,30.0
104-17-720x480.mp4,30.0
105-30-1280x720.mp4,30.0
105.avi,29.97
106-30-720x1280.mp4,30.0
106.avi,23.976
107-30-640x480.mp4,30.0
107.avi,29.97
108-15-640x480.mp4,30.0
108.avi,23.976
109-30-1280x720.mp4,30.0
11-24-1920x1080.mp4,30.0
110-30-270x480.mp4,30.0
110.avi,30.0
111-25-1920x1080.mp4,30.0
30-30-1920x1080.mp4,30.0
303.mp4,30.0
304.mp4,27.975
305.mp4,24.235
306.mp4,24.575
307.mp4,23.858
308.mp4,29.719
309.mp4,26.633
31-30-1920x1080.mp4,30.0
311.mp4,23.961
312.mp4,25.0
313.mp4,20.328
314.mp4,21.353
315.mp4,30.0
317.mp4,20.911
318.mp4,28.941
319.mp4,29.623
32-60-1920x1080.mp4,30.0
320.mp4,29.97
321.mp4,28.968
322.mp4,20.805
323.mp4,22.755
324.mp4,29.97
325.mp4,22.721
326.mp4,24.227
327.mp4,28.034
328.mp4,28.478
329.mp4,29.375
33-30-1920x1080.mp4,30.0
330.mp4,25.397
331.mp4,23.206
332.mp4,29.97
179.avi,30.0
18-24-1920x1080.mp4,30.0
181.avi,30.0
182.avi,29.97
183.avi,30.0
184.avi,29.97
185.avi,29.97
186.avi,24.0
187.avi,30.0
188.avi,29.97
189.avi,29.97
19-24-1920x1080.mp4,30.0
190.avi,29.97
191.avi,29.97
192.avi,25.0
193.avi,29.97
194.avi,29.97
195.avi,29.97
196.avi,29.97
197.avi,30.0
198.avi,23.976
60-30-1920x1080.mp4,30.0
61-24-1920x1080.mp4,30.0
62-30-654x480.mp4,30.0
63-30-1920x1080.mp4,30.0
64-24-640x360.mp4,30.0
65-30-400x228.mp4,30.0
66-25-1080x1920.mp4,30.0
67-24-640x360.mp4,30.0
68-24-1920x1080.mp4,30.0
69-25-854x480.mp4,30.0
7-60-1920x1080.mp4,30.0
70-30-720x1280.mp4,30.0
71-30-1920x1080.mp4,30.0
72-30-1280x720.mp4,30.0
74-25-1920x1080.mp4,30.0
75-30-960x720.mp4,30.0
76-30-640x280.mp4,30.0
77-30-1280x720.mp4,30.0
78-30-960x720.mp4,30.0
79-30-960x720.mp4,30.0
8-30-1280x720.mp4,30.0
80-30-320x240.mp4,30.0
81-30-576x360.mp4,30.0
111.avi,29.97
120.avi,25.0
134.avi,15.452
154.avi,29.97
178.avi,30.0
199.avi,24.016
221.mp4,29.5
240.mp4,30.0
260.mp4,25.576
28-30-1280x720-4.mp4,30.0
3-25-1920x1080.mp4,30.0
334.mp4,24.833
37-30-1280x720.mp4,30.0
412.mp4,10.0
446.mp4,17.0
467.mp4,30.0
489.avi,29.97
6-30-1920x1080.mp4,30.0
82-25-854x480.mp4,30.0
99-30-720x720.mp4,30.0
video27.mp4,30.0
video49.mp4,29.97
video69.mp4,30.0
135-24-1920x1080.mp4,30.0
135.avi,23.976
136-30-1920x1080.mp4,30.0
136.avi,25.0
137-30-1920x1080.mp4,30.0
137.avi,30.0
138-30-1280x720.mp4,30.0
138.avi,29.97
139-14-720x480.mp4,30.0
139.avi,29.97
14-30-1920x1080.mp4,30.0
140-30-632x360.mp4,30.0
140.avi,29.97
141.avi,29.97
143.avi,29.97
144.avi,29.97
146.avi,15.917
147.avi,29.97
148.avi,29.97
149.avi,29.97
15-24-1920x1080.mp4,30.0
150.avi,29.97
151.avi,22.0
153.avi,29.97
223.mp4,16.0
224.mp4,23.261
225.mp4,30.0
226.mp4,30.0
227.mp4,29.411
228.mp4,23.983
229.mp4,22.527
23-24-1920x1080.mp4,30.0
230.mp4,22.859
231.mp4,28.295
232.mp4,23.688
233.mp4,29.97
234.mp4,26.13
235.mp4,25.627
236.mp4,21.661
237.mp4,28.079
238.mp4,24.175
239.mp4,24.448
24-30-1920x1080-1.mp4,30.0
24-30-1920x1080-2.mp4,30.0
370.mp4,24.37
371.mp4,20.544
372.mp4,13.499
373.mp4,21.12
374.mp4,7.5
375.mp4,22.561
376.mp4,20.476
377.mp4,20.085
378.mp4,29.97
38-30-1920x1080.mp4,30.0
380.mp4,20.604
381.mp4,20.969
382.mp4,20.574
383.mp4,16.501
384.mp4,21.32
385.mp4,20.083
386.mp4,20.456
387.mp4,20.084
388.mp4,27.735
389.mp4,25.656
39-25-424x240.mp4,30.0
391.mp4,22.283
392.mp4,30.0
393.mp4,29.094
394.mp4,29.061
395.mp4,29.97
398.mp4,27.004
399.mp4,29.086
4-30-1920x1080.mp4,30.0
40-30-1280x720.mp4,30.0
400.mp4,23.264
402.mp4,28.519
403.mp4,20.102
406.mp4,30.0
407.mp4,27.142
408.mp4,29.97
409.mp4,22.774
41-24-1280x720.mp4,30.0
261.mp4,25.412
262.mp4,29.389
264.mp4,29.345
265.mp4,29.97
266.mp4,18.242
267.mp4,27.048
268.mp4,30.0
269.mp4,27.398
27-60-1280x720.mp4,30.0
270.mp4,30.0
271.mp4,23.005
272.mp4,29.97
273.mp4,29.97
274.mp4,25.439
275.mp4,25.96
276.mp4,22.689
277.mp4,28.469
278.mp4,23.976
279.mp4,20.382
28-30-1280x720-1.mp4,30.0
28-30-1280x720-2.mp4,30.0
28-30-1280x720-3.mp4,30.0
415.mp4,21.584
416.mp4,22.527
418.mp4,29.97
419.mp4,29.97
42-30-480x480.mp4,30.0
420.mp4,25.773
421.mp4,24.368
423.mp4,29.97
424.mp4,27.307
425.mp4,29.97
426.mp4,28.7
427.mp4,20.83
428.mp4,30.0
429.mp4,20.817
43-30-406x720.mp4,30.0
430.mp4,24.026
433.mp4,20.348
434.mp4,24.125
435.mp4,21.244
439.mp4,25.752
44-25-426x240.mp4,30.0
440.mp4,21.48
441.mp4,30.0
83-24-1920x1080.mp4,30.0
84-30-1920x1080.mp4,30.0
85-24-1280x720.mp4,30.0
86-24-1920x1080.mp4,30.0
87-25-1920x1080.mp4,30.0
88-30-360x480.mp4,30.0
89-30-1080x1920.mp4,30.0
9-15-1920x1080.mp4,30.0
90-30-1080x1920.mp4,30.0
91-30-1920x1080.mp4,30.0
92-24-1920x1080.mp4,30.0
93-24-640x360.mp4,30.0
94-30-1920x1080.mp4,30.0
95-24-1920x1080.mp4,30.0
96-30-1280x720.mp4,30.0
97-29-1920x1080.mp4,30.0
98-30-360x360.mp4,30.0
121-24-1920x1080.mp4,30.0
121.avi,29.97
122-60-1920x1080-1.mp4,30.0
122-60-1920x1080-2.mp4,30.0
122-60-1920x1080-3.mp4,30.0
122-60-1920x1080-4.mp4,30.0
122-60-1920x1080-5.mp4,30.0
122.avi,29.97
123-25-1920x1080.mp4,30.0
123.avi,29.97
124-30-720x1280.mp4,30.0
125-25-1280x720.mp4,30.0
125.avi,29.97
126-30-1080x1920.mp4,30.0
126.avi,29.97
127-30-1280x720.mp4,30.0
127.avi,29.97
128-24-1920x1080.mp4,30.0
128.avi,30.0
129-24-1280x720.mp4,30.0
129.avi,23.976
13-30-1920x1080.mp4,30.0
130-25-1280x720.mp4,30.0
130.avi,29.97
131-30-1920x1080.mp4,30.0
131.avi,23.976
132-30-426x240.mp4,30.0
132.avi,29.97
133-30-1280x720.mp4,30.0
133.avi,23.976
134-30-1280x720.mp4,30.0
155.avi,25.0
156.avi,30.0
157.avi,24.027
158.avi,29.97
159.avi,14.61
16-30-1920x1080.mp4,30.0
160.avi,29.917
161.avi,13.75
162.avi,30.0
163.avi,30.0
164.avi,29.97
165.avi,30.0
166.avi,29.97
167.avi,24.0
168.avi,30.0
169.avi,29.97
17-24-1920x1080.mp4,30.0
171.avi,30.0
172.avi,29.97
175.avi,24.0
176.avi,30.0
177.avi,29.97
335.mp4,29.431
336.mp4,28.413
337.mp4,22.341
339.mp4,25.674
34-25-1920x1080.mp4,30.0
341.mp4,23.556
344.mp4,30.0
345.mp4,21.905
346.mp4,28.366
347.mp4,22.773
348.mp4,24.263
349.mp4,24.57
35-30-1920x1080.mp4,30.0
350.mp4,29.103
353.mp4,21.124
354.mp4,24.957
355.mp4,21.756
357.mp4,21.923
358.mp4,30.0
359.mp4,22.95
36-24-1280x720.mp4,30.0
360.mp4,25.0
361.mp4,29.97
362.mp4,29.97
363.mp4,30.0
364.mp4,22.11
365.mp4,7.667
367.mp4,30.0
368.mp4,20.131
369.mp4,30.0
2-30-640x360.mp4,30.0
20-24-1920x1080.mp4,30.0
200.avi,29.97
201.mp4,18.991
202.mp4,19.496
203.mp4,23.976
204.mp4,30.0
206.mp4,30.0
207.mp4,21.905
208.mp4,29.758
209.mp4,24.0
21-24-1920x1080.mp4,30.0
210.mp4,21.069
211.mp4,23.976
212.mp4,29.97
213.mp4,30.0
214.mp4,25.0
215.mp4,29.97
216.mp4,24.0
218.mp4,29.97
219.mp4,29.97
22-30-1920x1080.mp4,30.0
220.mp4,29.97
447.mp4,28.425
448.mp4,24.53
449.mp4,25.996
45-24-1280x720.mp4,30.0
450.mp4,29.97
451.avi,29.97
452.avi,29.97
453.avi,25.0
454.mp4,30.0
455.avi,29.97
456.avi,23.315
457.avi,29.97
458.avi,29.97
459.avi,25.0
46-30-484x360.mp4,30.0
460.mp4,30.0
461.mp4,29.595
462.avi,20.939
463.avi,30.0
464.avi,29.97
465.avi,30.0
466.avi,30.0
112-30-640x360.mp4,30.0
112.avi,23.976
113-60-1280x720.mp4,30.0
113.avi,29.97
114-30-1280x720.mp4,30.0
114.avi,29.97
115-30-1280x720.mp4,30.0
116-30-1280x720.mp4,30.0
116.avi,30.0
117-25-1920x1080.mp4,30.0
117.avi,29.97
118-30-640x480.mp4,30.0
118.avi,29.97
119-30-848x480.mp4,30.0
119.avi,23.976
12-24-1920x1080.mp4,30.0
120-30-1280x720.mp4,30.0
280.mp4,20.319
281.mp4,30.0
282.mp4,29.97
283.mp4,29.97
284.mp4,23.28
285.mp4,22.449
286.mp4,22.555
287.mp4,18.626
288.mp4,28.449
289.mp4,29.97
29-24-1280x720.mp4,30.0
290.mp4,29.97
291.mp4,22.514
292.mp4,30.0
293.mp4,21.583
294.mp4,22.8
295.mp4,29.143
296.mp4,22.711
297.mp4,27.304
298.mp4,24.119
299.mp4,21.346
video1.mp4,30.0
video10_1.mp4,30.0
video11.mp4,30.0
video12.mp4,30.0
video13.mp4,30.0
video14.mp4,30.0
video15.mp4,30.0
video16.mp4,30.0
video17.mp4,30.0
video18.mp4,30.0
video19.mp4,30.0
video2.mp4,30.0
video20.mp4,30.0
video21.mp4,30.0
video22.mp4,30.0
video23.mp4,30.0
video24.mp4,30.0
video25.mp4,30.0
video26.mp4,29.97
241.mp4,26.15
242.mp4,29.97
243.mp4,27.427
244.mp4,23.976
245.mp4,30.0
246.mp4,27.163
247.mp4,19.445
248.mp4,23.558
249.mp4,22.883
25-25-600x480.mp4,30.0
250.mp4,25.599
251.mp4,23.701
252.mp4,18.228
253.mp4,23.85
254.mp4,26.578
255.mp4,21.885
256.mp4,23.493
257.mp4,25.715
258.mp4,20.931
259.mp4,27.729
26-60-1280x720.mp4,30.0
video28.mp4,30.0
video29.mp4,30.0
video3.mp4,30.0
video30.mp4,29.993
video32.mp4,30.0
video33.mp4,30.0
video34.mp4,30.0
video35.mp4,30.0
video36.mp4,30.0
video37.mp4,30.0
video38.mp4,30.0
video39.mp4,30.0
video4.mp4,30.0
video40.mp4,30.0
video41.mp4,29.97
video42.mp4,30.0
video44.mp4,30.0
video45_1.mp4,30.0
video45_2.mp4,30.0
video45_3.mp4,30.0
video45_4.mp4,30.0
video45_5.mp4,30.0
video45_6.mp4,30.0
video45_7.mp4,30.0
video46.mp4,29.97
video47.mp4,30.0
video48.mp4,30.0
video7.mp4,30.0
video70.mp4,30.0
video71.mp4,30.0
video72.mp4,30.0
video73.mp4,30.0
video74.mp4,30.0
video75.mp4,30.0
video76.mp4,30.0
video77.mp4,30.0
video78.mp4,30.0
video79.mp4,30.0
video8.mp4,30.0
video80.mp4,30.0
video81.mp4,29.97
video82.mp4,30.0
video83.mp4,30.0
video84.mp4,30.0
video85.mp4,30.0
video86_1.mp4,30.0
video86_2.mp4,30.0
video86_3.mp4,30.0
video87.mp4,30.0
video88.mp4,30.0
video89.mp4,30.0
video9.mp4,30.0
video90.mp4,30.0
video91.mp4,30.0
video92.mp4,30.0
video93.mp4,29.97
video94.mp4,30.0
video95.mp4,30.0
video96.mp4,30.0
video5.mp4,30.0
video51.mp4,30.0
video52.mp4,30.0
video53.mp4,30.0
video54.mp4,30.0
video55.mp4,30.0
video56.mp4,30.0
video57.mp4,30.0
video58.mp4,29.97
video59.mp4,30.0
video6.mp4,30.0
video60.mp4,30.0
video61.mp4,30.0
video62.mp4,30.0
video63.mp4,29.97
video64.mp4,29.97
video65.mp4,30.0
video66.mp4,30.0
video67.mp4,30.0
49-30-1280x720.mp4,30.0
490.avi,30.0
491.avi,29.97
492.mp4,8.333
493.avi,6.0
494.mp4,19.917
495.avi,23.976
496.avi,29.97
497.mp4,30.0
498.avi,9.0
499.avi,15.0
5-60-1920x1080-1.mp4,30.0
5-60-1920x1080-2.mp4,30.0
5-60-1920x1080-3.mp4,30.0
5-60-1920x1080-4.mp4,30.0
50-30-1920x1080.mp4,30.0
500.avi,14.752
51-30-1280x720.mp4,30.0
52-30-1280x720.mp4,30.0
53-30-360x480.mp4,30.0
54-30-1080x1920.mp4,30.0
55-25-1280x720.mp4,30.0
56-30-1080x1920.mp4,30.0
57-25-426x240.mp4,30.0
58-30-640x480.mp4,30.0
59-30-1280x720.mp4,30.0
468.mp4,25.0
469.mp4,25.0
47-30-654x480.mp4,30.0
470.avi,25.0
471.avi,29.97
472.avi,29.97
473.avi,29.97
474.avi,30.0
475.avi,29.97
476.avi,29.97
477.avi,25.0
478.avi,29.97
479.avi,25.0
48-30-720x1280.mp4,30.0
480.avi,29.97
481.avi,30.0
482.avi,30.0
483.mp4,29.97
484.avi,30.0
485.avi,29.97
486.avi,29.97
487.avi,29.97
488.avi,23.976
